min_voltage,peak_kw,loss_kwh,violation_rate,service,controller,scenario,ood,scale,response,base_error,ev_error,binding_constraint,committed_kwh,realized_kwh,shortfall_kwh,firm_coverage,service_completion
0.9652062346483135,3809.5580791696734,830.528058609809,0.0,0.7996490524738393,Point bunching,9,False,0.8,0.7996490524736802,0.04877454338876021,-0.029145965668364814,,1019.8309859154931,1258.7171432937878,0.0,1.0,0.9071494635562098
0.9640505304465492,3888.8777023990456,832.4848695313374,0.0,0.799649052473925,Robust engineering,9,False,0.52,0.7996490524736802,0.04877454338876021,-0.029145965668364814,,1180.5652173913045,1258.7171432937878,0.0,1.0,0.9396471513115365
0.9650735806265903,3818.662542930278,830.7200332672633,0.0,0.799649052473846,BGFC,9,False,0.7678610443521957,0.7996490524736802,0.04877454338876021,-0.029145965668364814,,783.0884859077998,1258.7171432937878,0.0,1.0,0.9108796126470122
0.9585988614408981,4339.5218647304655,949.7638443518998,0.0,1.0,Uncontrolled,10,True,0.0,0.49372116771038044,0.10519818450806598,0.14621581102017242,,0.0,0.0,0.0,,1.0
0.9611472813037729,4164.615774534632,942.5752620579099,0.0,0.49372116771070207,Nominal engineering,10,True,1.0,0.49372116771038044,0.10519818450806598,0.14621581102017242,,1574.0869565217392,777.1600502515919,796.9269062701474,0.0,0.7788698101878685
0.960637597331198,4199.596992573798,943.7631235088204,0.0,0.49372116771078245,Point bunching,10,True,0.8,0.49372116771038044,0.10519818450806598,0.14621581102017242,,1019.8309859154931,777.1600502515919,242.67093566390122,0.0,0.8230958481502947
0.9599240397695931,4248.570697828632,945.6360077467207,0.0,0.49372116771099894,Robust engineering,10,True,0.52,0.49372116771038044,0.10519818450806598,0.14621581102017242,,1180.5652173913045,777.1600502515919,403.4051671397126,0.0,0.8850123012976916
0.9605556937782531,4205.218291649133,943.9656572297329,0.0,0.4937211677107993,BGFC,10,True,0.7678610443521957,0.49372116771038044,0.10519818450806598,0.14621581102017242,,783.0884859077998,777.1600502515919,5.9284356562079665,1.0,0.8302027415130574
0.9616735072021577,4077.9767062362657,861.8833597867248,0.0,1.0,Uncontrolled,11,False,0.0,0.8108834233064569,0.06792432527009977,-0.05699949093041323,,0.0,0.0,0.0,,1.0
0.965365644707246,3790.7124395797,853.7125669863682,0.0,0.8108834233065769,Nominal engineering,11,False,1.0,0.8108834233064569,0.06792432527009977,-0.05699949093041323,,1574.0869565217392,1276.4010198863898,297.68593663534944,0.0,0.8859590161951623
